timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/04/16 00:25:06.272, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 46
2026/04/16 00:25:07.272, Tesla PG503-216, 7 %, 1 %, 4344 MiB, 45
2026/04/16 00:25:08.273, Tesla PG503-216, 39 %, 15 %, 4344 MiB, 45
2026/04/16 00:25:09.273, Tesla PG503-216, 10 %, 3 %, 4344 MiB, 45
2026/04/16 00:25:10.274, Tesla PG503-216, 7 %, 1 %, 4344 MiB, 45
2026/04/16 00:25:11.274, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 44
2026/04/16 00:25:12.275, Tesla PG503-216, 27 %, 10 %, 4344 MiB, 45
2026/04/16 00:25:13.275, Tesla PG503-216, 24 %, 9 %, 4344 MiB, 45
2026/04/16 00:25:14.275, Tesla PG503-216, 40 %, 16 %, 4344 MiB, 44
2026/04/16 00:25:15.276, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 44
2026/04/16 00:25:16.276, Tesla PG503-216, 13 %, 3 %, 4344 MiB, 45
2026/04/16 00:25:17.277, Tesla PG503-216, 39 %, 15 %, 4344 MiB, 44
2026/04/16 00:25:18.277, Tesla PG503-216, 14 %, 4 %, 4344 MiB, 45
2026/04/16 00:25:19.278, Tesla PG503-216, 34 %, 13 %, 4344 MiB, 45
2026/04/16 00:25:20.278, Tesla PG503-216, 9 %, 2 %, 4344 MiB, 46
2026/04/16 00:25:21.279, Tesla PG503-216, 26 %, 10 %, 4344 MiB, 45
2026/04/16 00:25:22.279, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:23.280, Tesla PG503-216, 27 %, 11 %, 4344 MiB, 46
2026/04/16 00:25:24.280, Tesla PG503-216, 37 %, 16 %, 4344 MiB, 46
2026/04/16 00:25:25.281, Tesla PG503-216, 12 %, 3 %, 4344 MiB, 46
2026/04/16 00:25:26.281, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:25:27.282, Tesla PG503-216, 13 %, 4 %, 4344 MiB, 46
2026/04/16 00:25:28.282, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:29.282, Tesla PG503-216, 14 %, 4 %, 4344 MiB, 45
2026/04/16 00:25:30.283, Tesla PG503-216, 24 %, 9 %, 4344 MiB, 45
2026/04/16 00:25:31.283, Tesla PG503-216, 35 %, 14 %, 4344 MiB, 45
2026/04/16 00:25:32.284, Tesla PG503-216, 25 %, 10 %, 4344 MiB, 45
2026/04/16 00:25:33.284, Tesla PG503-216, 3 %, 0 %, 4344 MiB, 46
2026/04/16 00:25:34.285, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:35.285, Tesla PG503-216, 52 %, 18 %, 4344 MiB, 45
2026/04/16 00:25:36.285, Tesla PG503-216, 9 %, 1 %, 4344 MiB, 46
2026/04/16 00:25:37.286, Tesla PG503-216, 34 %, 13 %, 4344 MiB, 45
2026/04/16 00:25:38.286, Tesla PG503-216, 20 %, 7 %, 4344 MiB, 46
2026/04/16 00:25:39.287, Tesla PG503-216, 29 %, 11 %, 4344 MiB, 45
2026/04/16 00:25:40.287, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:41.288, Tesla PG503-216, 11 %, 2 %, 4344 MiB, 46
2026/04/16 00:25:42.288, Tesla PG503-216, 43 %, 17 %, 4344 MiB, 45
2026/04/16 00:25:43.289, Tesla PG503-216, 16 %, 5 %, 4344 MiB, 45
2026/04/16 00:25:44.289, Tesla PG503-216, 17 %, 6 %, 4344 MiB, 44
2026/04/16 00:25:45.290, Tesla PG503-216, 21 %, 6 %, 4344 MiB, 44
2026/04/16 00:25:46.290, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:25:47.291, Tesla PG503-216, 36 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:48.291, Tesla PG503-216, 23 %, 9 %, 4344 MiB, 45
2026/04/16 00:25:49.292, Tesla PG503-216, 28 %, 11 %, 4344 MiB, 46
2026/04/16 00:25:50.292, Tesla PG503-216, 37 %, 14 %, 4344 MiB, 46
2026/04/16 00:25:51.293, Tesla PG503-216, 35 %, 14 %, 4344 MiB, 47
2026/04/16 00:25:52.293, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:25:53.294, Tesla PG503-216, 23 %, 9 %, 4344 MiB, 45
2026/04/16 00:25:54.294, Tesla PG503-216, 16 %, 6 %, 4344 MiB, 45
2026/04/16 00:25:55.295, Tesla PG503-216, 21 %, 8 %, 4344 MiB, 46
2026/04/16 00:25:56.295, Tesla PG503-216, 40 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:57.295, Tesla PG503-216, 23 %, 9 %, 4344 MiB, 45
2026/04/16 00:25:58.296, Tesla PG503-216, 29 %, 11 %, 4344 MiB, 45
2026/04/16 00:25:59.296, Tesla PG503-216, 34 %, 15 %, 4344 MiB, 46
2026/04/16 00:26:00.297, Tesla PG503-216, 8 %, 1 %, 4344 MiB, 45
2026/04/16 00:26:01.297, Tesla PG503-216, 36 %, 14 %, 4344 MiB, 45
2026/04/16 00:26:02.298, Tesla PG503-216, 28 %, 11 %, 4344 MiB, 47
2026/04/16 00:26:03.298, Tesla PG503-216, 11 %, 4 %, 4344 MiB, 46
2026/04/16 00:26:04.299, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:05.299, Tesla PG503-216, 13 %, 4 %, 4344 MiB, 46
2026/04/16 00:26:06.300, Tesla PG503-216, 36 %, 15 %, 4344 MiB, 47
2026/04/16 00:26:07.300, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:08.301, Tesla PG503-216, 14 %, 4 %, 4344 MiB, 47
2026/04/16 00:26:09.301, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:10.302, Tesla PG503-216, 19 %, 7 %, 4344 MiB, 45
2026/04/16 00:26:11.302, Tesla PG503-216, 7 %, 1 %, 4344 MiB, 46
2026/04/16 00:26:12.303, Tesla PG503-216, 38 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:13.303, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:14.304, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:15.304, Tesla PG503-216, 14 %, 3 %, 4344 MiB, 47
2026/04/16 00:26:16.305, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:17.305, Tesla PG503-216, 43 %, 17 %, 4344 MiB, 45
2026/04/16 00:26:18.306, Tesla PG503-216, 36 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:19.306, Tesla PG503-216, 26 %, 10 %, 4344 MiB, 46
2026/04/16 00:26:20.307, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:21.307, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:22.308, Tesla PG503-216, 9 %, 2 %, 4344 MiB, 47
2026/04/16 00:26:23.308, Tesla PG503-216, 23 %, 9 %, 4344 MiB, 47
2026/04/16 00:26:24.308, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:25.309, Tesla PG503-216, 7 %, 2 %, 4344 MiB, 45
2026/04/16 00:26:26.310, Tesla PG503-216, 4 %, 1 %, 4344 MiB, 46
2026/04/16 00:26:27.311, Tesla PG503-216, 38 %, 15 %, 4344 MiB, 46
2026/04/16 00:26:28.312, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 46
2026/04/16 00:26:29.312, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:30.313, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:31.313, Tesla PG503-216, 5 %, 1 %, 4344 MiB, 46
2026/04/16 00:26:32.313, Tesla PG503-216, 9 %, 4 %, 4344 MiB, 45
2026/04/16 00:26:33.314, Tesla PG503-216, 12 %, 4 %, 4344 MiB, 45
2026/04/16 00:26:34.314, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:35.315, Tesla PG503-216, 38 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:36.315, Tesla PG503-216, 25 %, 10 %, 4344 MiB, 47
2026/04/16 00:26:37.316, Tesla PG503-216, 36 %, 14 %, 4344 MiB, 45
2026/04/16 00:26:38.316, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:39.317, Tesla PG503-216, 7 %, 1 %, 4344 MiB, 45
2026/04/16 00:26:40.317, Tesla PG503-216, 6 %, 0 %, 4344 MiB, 45
2026/04/16 00:26:41.318, Tesla PG503-216, 38 %, 15 %, 4344 MiB, 47
2026/04/16 00:26:42.318, Tesla PG503-216, 35 %, 15 %, 4344 MiB, 46
2026/04/16 00:26:43.319, Tesla PG503-216, 6 %, 2 %, 4344 MiB, 46
2026/04/16 00:26:44.319, Tesla PG503-216, 21 %, 8 %, 4344 MiB, 45
2026/04/16 00:26:45.319, Tesla PG503-216, 39 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:46.320, Tesla PG503-216, 36 %, 15 %, 4344 MiB, 46
2026/04/16 00:26:47.320, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:48.321, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 46
2026/04/16 00:26:49.321, Tesla PG503-216, 7 %, 0 %, 4344 MiB, 46
2026/04/16 00:26:50.322, Tesla PG503-216, 38 %, 15 %, 4344 MiB, 45
2026/04/16 00:26:51.322, Tesla PG503-216, 32 %, 12 %, 4344 MiB, 45
2026/04/16 00:26:52.323, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 45
2026/04/16 00:26:53.323, Tesla PG503-216, 28 %, 11 %, 4344 MiB, 46
2026/04/16 00:26:54.324, Tesla PG503-216, 16 %, 6 %, 4344 MiB, 45
2026/04/16 00:26:55.324, Tesla PG503-216, 19 %, 7 %, 4344 MiB, 45
2026/04/16 00:26:56.325, Tesla PG503-216, 41 %, 16 %, 4344 MiB, 47
2026/04/16 00:26:57.325, Tesla PG503-216, 2 %, 0 %, 4344 MiB, 46
2026/04/16 00:26:58.325, Tesla PG503-216, 29 %, 11 %, 4344 MiB, 45
2026/04/16 00:26:59.326, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:27:00.326, Tesla PG503-216, 28 %, 11 %, 4344 MiB, 47
2026/04/16 00:27:01.327, Tesla PG503-216, 13 %, 5 %, 4344 MiB, 46
2026/04/16 00:27:02.327, Tesla PG503-216, 40 %, 15 %, 4344 MiB, 45
2026/04/16 00:27:03.328, Tesla PG503-216, 21 %, 8 %, 4344 MiB, 46
2026/04/16 00:27:04.328, Tesla PG503-216, 37 %, 14 %, 4344 MiB, 45
2026/04/16 00:27:05.329, Tesla PG503-216, 39 %, 16 %, 4344 MiB, 45
